                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.68508,                 0.7466,                0.91635,                 0.9618,                      1,                  0.995,                 0.8433,                0.66745,                0.67975,                0.90088,              0.0010372,              0.0010372,              0.0010372
                     89,                0.68418,                0.72394,                0.94126,                 0.9618,                      1,                  0.995,                 0.8433,                0.66745,                0.67975,                0.90088,              0.0010347,              0.0010347,              0.0010347
                     90,                0.68917,                0.69069,                0.89801,                 0.9586,                0.99706,                  0.995,                 0.8582,                 0.6355,                0.61715,                0.89469,              0.0010322,              0.0010322,              0.0010322
                     91,                0.64764,                0.66073,                 0.9063,                 0.9586,                0.99706,                  0.995,                 0.8582,                 0.6355,                0.61715,                0.89469,              0.0010297,              0.0010297,              0.0010297
                     92,                0.63354,                0.68942,                0.92025,                0.97232,                      1,                  0.995,                0.84963,                0.62549,                0.58739,                0.88122,              0.0010273,              0.0010273,              0.0010273
                     93,                0.64557,                0.69333,                0.89157,                0.97232,                      1,                  0.995,                0.84963,                0.62549,                0.58739,                0.88122,              0.0010248,              0.0010248,              0.0010248
                     94,                 0.6834,                0.75274,                0.93435,                0.97344,                      1,                  0.995,                0.86016,                0.61582,                0.58172,                0.87335,              0.0010223,              0.0010223,              0.0010223
                     95,                0.65569,                0.73416,                0.91805,                0.97344,                      1,                  0.995,                0.86016,                0.61582,                0.58172,                0.87335,              0.0010198,              0.0010198,              0.0010198
                     96,                0.67724,                0.65196,                0.89631,                0.96989,                      1,                  0.995,                0.85536,                0.59063,                0.57536,                0.87277,              0.0010173,              0.0010173,              0.0010173
                     97,                0.67817,                0.66817,                0.89613,                0.96989,                      1,                  0.995,                0.85536,                0.59063,                0.57536,                0.87277,              0.0010149,              0.0010149,              0.0010149
                     98,                0.65866,                0.67688,                0.91838,                0.96447,                      1,                  0.995,                0.87559,                0.58333,                0.55898,                0.87516,              0.0010124,              0.0010124,              0.0010124
                     99,                0.64105,                0.67486,                0.89014,                0.96447,                      1,                  0.995,                0.87559,                0.58333,                0.55898,                0.87516,              0.0010099,              0.0010099,              0.0010099
                    100,                0.64917,                0.67473,                0.90141,                0.96793,                      1,                  0.995,                0.87625,                0.56266,                0.51582,                0.86518,              0.0010075,              0.0010075,              0.0010075
                    101,                0.69315,                0.71337,                0.93222,                0.96793,                      1,                  0.995,                0.87625,                0.56266,                0.51582,                0.86518,               0.001005,               0.001005,               0.001005
                    102,                0.67997,                0.69481,                0.92806,                0.96095,                0.99883,                  0.995,                0.88771,                0.57048,                 0.5187,                0.85928,              0.0010025,              0.0010025,              0.0010025
                    103,                0.66637,                0.68699,                0.89194,                0.96095,                0.99883,                  0.995,                0.88771,                0.57048,                 0.5187,                0.85928,                  0.001,                  0.001,                  0.001
                    104,                0.63063,                0.61886,                0.90049,                0.94838,                0.99548,                  0.995,                 0.8827,                0.58563,                0.52732,                 0.8682,             0.00099755,             0.00099755,             0.00099755
                    105,                0.64949,                0.65779,                0.88579,                0.94838,                0.99548,                  0.995,                 0.8827,                0.58563,                0.52732,                 0.8682,             0.00099507,             0.00099507,             0.00099507
                    106,                 0.6737,                0.67577,                 0.9082,                0.96154,                0.99483,                  0.995,                0.86583,                0.55598,                 0.5225,                0.86488,              0.0009926,              0.0009926,              0.0009926
                    107,                0.60067,                0.62841,                0.90117,                0.96154,                0.99483,                  0.995,                0.86583,                0.55598,                 0.5225,                0.86488,             0.00099013,             0.00099013,             0.00099013
                    108,                0.61362,                0.63177,                0.88958,                0.97547,                0.99581,                  0.995,                 0.8882,                0.54086,                0.52324,                0.85079,             0.00098765,             0.00098765,             0.00098765
                    109,                0.60643,                0.62093,                0.88944,                0.97547,                0.99581,                  0.995,                 0.8882,                0.54086,                0.52324,                0.85079,             0.00098518,             0.00098518,             0.00098518
                    110,                0.65265,                0.65453,                0.88842,                0.97018,                0.99313,                  0.995,                0.89442,                0.52117,                0.53579,                0.84604,              0.0009827,              0.0009827,              0.0009827
                    111,                0.63607,                0.64597,                0.89725,                0.97018,                0.99313,                  0.995,                0.89442,                0.52117,                0.53579,                0.84604,             0.00098022,             0.00098022,             0.00098022
                    112,                0.64406,                0.70264,                0.88927,                0.96343,                0.99228,                  0.995,                0.91585,                0.48966,                0.54926,                0.83873,             0.00097775,             0.00097775,             0.00097775
                    113,                 0.6773,                0.68089,                0.91955,                0.96343,                0.99228,                  0.995,                0.91585,                0.48966,                0.54926,                0.83873,             0.00097528,             0.00097528,             0.00097528
                    114,                0.60334,                0.64539,                0.90185,                 0.9783,                0.99737,                  0.995,                0.88559,                0.54015,                0.51805,                0.85565,              0.0009728,              0.0009728,              0.0009728
                    115,                0.61007,                0.64541,                0.89796,                 0.9783,                0.99737,                  0.995,                0.88559,                0.54015,                0.51805,                0.85565,             0.00097033,             0.00097033,             0.00097033
                    116,                0.60705,                 0.6335,                0.90594,                0.96025,                      1,                  0.995,                0.87262,                 0.5802,                0.51464,                0.86423,             0.00096785,             0.00096785,             0.00096785
                    117,                0.62809,                0.61887,                0.88291,                0.96025,                      1,                  0.995,                0.87262,                 0.5802,                0.51464,                0.86423,             0.00096537,             0.00096537,             0.00096537
                    118,                0.68988,                0.72184,                0.92822,                0.95716,                0.99518,                  0.995,                0.90519,                0.56611,                0.51933,                0.85614,              0.0009629,              0.0009629,              0.0009629
                    119,                0.62268,                0.61602,                0.89872,                0.95716,                0.99518,                  0.995,                0.90519,                0.56611,                0.51933,                0.85614,             0.00096043,             0.00096043,             0.00096043
                    120,                0.60349,                0.63458,                0.87909,                0.96969,                      1,                  0.995,                0.90472,                0.54539,                0.52142,                0.86044,             0.00095795,             0.00095795,             0.00095795
